#X 	Y 	poch 	SPLINE
88.93	1.84087	112.809	1.93811
88.94	1.93811	119.516	2.04715
88.95	2.04715	122.089	2.1686
88.96	2.1686	131.711	2.30318
88.97	2.30318	138.512	2.45172
88.98	2.45172	151.489	2.61516
88.99	2.61516	156.981	2.79456
89	2.79456	170.651	2.99108
89.01	2.99108	187.185	3.20599
89.02	3.20599	193.808	3.44066
89.03	3.44066	213.271	3.69655
89.04	3.69655	225.762	3.97519
89.05	3.97519	248.105	4.27815
89.06	4.27815	254.843	4.60705
89.07	4.60705	274.947	4.96348
89.08	4.96348	296.475	5.34893
89.09	5.34893	297.925	5.76478
89.1	5.76478	318.097	6.21216
89.11	6.21216	320.672	6.69182
89.12	6.69182	335.186	7.20402
89.13	7.20402	314.34	7.74836
89.14	7.74836	312.33	8.32348
89.15	8.32348	282.313	8.92694
89.16	8.92694	258.142	9.55488
89.17	9.55488	182.565	10.2017
89.18	10.2017	118.036	10.8601
89.19	10.8601	31.986	11.5202
89.2	11.5202	-107.863	12.1702
89.21	12.1702	-235.398	12.796
89.22	12.796	-404.294	13.3814
89.23	13.3814	-570.477	13.9087
89.24	13.9087	-774.356	14.3595
89.25	14.3595	-947.093	14.7156
89.26	14.7156	-1114.49	14.9604
89.27	14.9604	-1260.93	15.0803
89.28	15.0803	-1353.69	15.0654
89.29	15.0654	-1399.29	14.9115
89.3	14.9115	-1393.37	14.6196
89.31	14.6196	-1314.82	14.1968
89.32	14.1968	-1193.03	13.6551
89.33	13.6551	-1039.85	13.011
89.34	13.011	-823.045	12.2837
89.35	12.2837	-626.195	11.4942
89.36	11.4942	-406.16	10.6635
89.37	10.6635	-223.694	9.81143
89.38	9.81143	-12.9209	8.95625
89.39	8.95625	124.704	8.11355
89.4	8.11355	262.572	7.2962
89.41	7.2962	345.336	6.51425
89.42	6.51425	444.265	5.77508
89.43	5.77508	480.071	5.08366
89.44	5.08366	499.199	4.44285
89.45	4.44285	530.268	3.85376
89.46	3.85376	512.124	3.31607
89.47	3.31607	503.93	2.82839
89.48	2.82839	471.46	2.3885
89.49	2.3885	457.352	1.99359
89.5	1.99359	417.972	1.64051
89.51	1.64051	379.486	1.32585
89.52	1.32585	354.747	1.04615
89.53	1.04615	313.46	0.79797
89.54	0.79797	281.81	0.57791
89.55	0.57791	245.777	0.38277
89.56	0.38277	221.25	0.20948
89.57	0.20948	189.121	0.05518
89.58	0.05518	161.18	-0.08277
89.59	-0.08277	140.779	-0.20683
89.6	-0.20683	115.4	-0.31924
